Coding_Scheme,Code_Value,Full_Name,Shortcode,Viewport,Unit,UCUM_Unit,CID_Source
SRT,14910006,Inspiration,14910006,CID_12234,F-20010,,CID_12234
SRT,58322009,Expiration,58322009,CID_12234,F-20020,,CID_12234
SRT,399093001,Medial Mitral Annulus,399093001,CID_12235,G-0391,,CID_12235
SRT,399086000,Lateral Mitral Annulus,399086000,CID_12235,G-0392,,CID_12235
SRT,65197004,Mitral Annulus,65197004,CID_12235,T-35310,,CID_12235
DCM,125223,4 Point Segment Finding Scale,125223,CID_12238,,,CID_12238
DCM,125224,5 Point Segment Finding Scale,125224,CID_12238,,,CID_12238
DCM,125225,5 Point Segment Finding Scale With Graded Hypokinesis,125225,CID_12238,,,CID_12238
SRT,90096001,Stroke Volume,90096001,CID_12239,F-32120,,CID_12239
SRT,82799009,Cardiac Output,82799009,CID_12239,F-32100,,CID_12239
SRT,54993008,Cardiac Index,54993008,CID_12239,F-32110,,CID_12239
SRT,277381004,Stroke Index,277381004,CID_12239,F-00078,,CID_12239
SRT,399030000,Left Ventricular Systolic Area,399030000,CID_12240,G-0374,,CID_12240
SRT,399109006,Left Ventricular Diastolic Area,399109006,CID_12240,G-0375,,CID_12240
SRT,399287000,Left Ventricular Fractional Area Change,399287000,CID_12240,G-0376,,CID_12240
SRT,399293008,"Left Ventricle Epicardial Diastolic Area, psax pap view",399293008,CID_12240,G-0379,,CID_12240
SRT,113259005,Tricuspid Annulus,113259005,CID_12241,T-35110,,CID_12241
SRT,77583004,Aortic Valve Ring,77583004,CID_12242,T-35410,,CID_12242
SRT,13418002,Left Ventricle Outflow Tract,13418002,CID_12243,T-32650,,CID_12243
SRT,30288003,Ventricular Septal Defect,30288003,CID_12244,D4-31150,,CID_12244
SRT,70142008,Atrial Septal Defect,70142008,CID_12244,D4-31220,,CID_12244
DCM,125195,Pediatric Cardiac Ultrasound Report,125195,CID_12245,,,CID_12245
DCM,125196,Fetal Cardiac Ultrasound Report,125196,CID_12245,,,CID_12245
DCM,125197,Adult Congenital Cardiac Ultrasound Report,125197,CID_12245,,,CID_12245
LN,59091-9,D-E Excursion,59091-9,CID_12251,C2923419,,CID_12251
LN,59109-9,Leaflet Separation,59109-9,CID_12251,C2923448,,CID_12251
LN,59110-7,Leaflet Thickness,59110-7,CID_12251,C2923450,,CID_12251
LN,59122-2,C-E Distance,59122-2,CID_12251,C2923472,,CID_12251
LN,10000-8,R wave duration in lead AVR,10000-8,,s,s,LOINC_db
LN,10001-6,R wave duration in lead I,10001-6,,s,s,LOINC_db
LN,10002-4,R wave duration in lead II,10002-4,,s,s,LOINC_db
LN,10003-2,R wave duration in lead III,10003-2,,s,s,LOINC_db
LN,10004-0,R wave duration in lead V1,10004-0,,s,s,LOINC_db
LN,10005-7,R wave duration in lead V2,10005-7,,s,s,LOINC_db
LN,10006-5,R wave duration in lead V3,10006-5,,s,s,LOINC_db
LN,10007-3,R wave duration in lead V4,10007-3,,s,s,LOINC_db
LN,10008-1,R wave duration in lead V5,10008-1,,s,s,LOINC_db
LN,10009-9,R wave duration in lead V6,10009-9,,s,s,LOINC_db
LN,10010-7,R' wave amplitude in lead AVF,10010-7,,mV,,LOINC_db
LN,10011-5,R' wave amplitude in lead AVL,10011-5,,mV,,LOINC_db
LN,10012-3,R' wave amplitude in lead AVR,10012-3,,mV,,LOINC_db
LN,10013-1,R' wave amplitude in lead I,10013-1,,mV,,LOINC_db
LN,10014-9,R' wave amplitude in lead II,10014-9,,mV,,LOINC_db
LN,10015-6,R' wave amplitude in lead III,10015-6,,mV,,LOINC_db
LN,10016-4,R' wave amplitude in lead V1,10016-4,,mV,,LOINC_db
LN,10017-2,R' wave amplitude in lead V2,10017-2,,mV,,LOINC_db
LN,10018-0,R' wave amplitude in lead V3,10018-0,,mV,,LOINC_db
LN,10019-8,R' wave amplitude in lead V4,10019-8,,mV,,LOINC_db
LN,10020-6,R' wave amplitude in lead V5,10020-6,,mV,,LOINC_db
LN,10021-4,R' wave amplitude in lead V6,10021-4,,mV,,LOINC_db
LN,10022-2,R' wave duration in lead AVF,10022-2,,s,s,LOINC_db
LN,100224-5,Cardiac left ventricular segmental wall motion by echo panel,100224-5,,nan,,LOINC_db
LN,10023-0,R' wave duration in lead AVL,10023-0,,s,s,LOINC_db
LN,10024-8,R' wave duration in lead AVR,10024-8,,s,s,LOINC_db
LN,10025-5,R' wave duration in lead I,10025-5,,s,s,LOINC_db
LN,10026-3,R' wave duration in lead II,10026-3,,s,s,LOINC_db
LN,10027-1,R' wave duration in lead III,10027-1,,s,s,LOINC_db
LN,10028-9,R' wave duration in lead V1,10028-9,,s,s,LOINC_db
LN,10029-7,R' wave duration in lead V2,10029-7,,s,s,LOINC_db
LN,10030-5,R' wave duration in lead V3,10030-5,,s,s,LOINC_db
LN,10031-3,R' wave duration in lead V4,10031-3,,s,s,LOINC_db
LN,10032-1,R' wave duration in lead V5,10032-1,,s,s,LOINC_db
LN,10033-9,R' wave duration in lead V6,10033-9,,s,s,LOINC_db
LN,10034-7,S wave amplitude in lead AVF,10034-7,,mV,,LOINC_db
LN,10035-4,S wave amplitude in lead AVL,10035-4,,mV,,LOINC_db
LN,10036-2,S wave amplitude in lead AVR,10036-2,,mV,,LOINC_db
LN,10037-0,S wave amplitude in lead I,10037-0,,mV,,LOINC_db
LN,10038-8,S wave amplitude in lead II,10038-8,,mV,,LOINC_db
LN,10039-6,S wave amplitude in lead III,10039-6,,mV,,LOINC_db
LN,10040-4,S wave amplitude in lead V1,10040-4,,mV,,LOINC_db
LN,10041-2,S wave amplitude in lead V2,10041-2,,mV,,LOINC_db
LN,10042-0,S wave amplitude in lead V3,10042-0,,mV,,LOINC_db
LN,10043-8,S wave amplitude in lead V4,10043-8,,mV,,LOINC_db
LN,10044-6,S wave amplitude in lead V5,10044-6,,mV,,LOINC_db
LN,100452-2,Clinical Cardiac Electrophysiology Outpatient Progress Note,100452-2,,nan,,LOINC_db
LN,10045-3,S wave amplitude in lead V6,10045-3,,mV,,LOINC_db
LN,10046-1,S wave duration in lead AVF,10046-1,,s,s,LOINC_db
LN,100472-0,Heart Failure+Transplant Cardiology Outpatient Progress Note,100472-0,,nan,,LOINC_db
LN,10047-9,S wave duration in lead AVL,10047-9,,s,s,LOINC_db
LN,100479-5,Interventional Cardiology Outpatient Progress Note,100479-5,,nan,,LOINC_db
LN,10048-7,S wave duration in lead AVR,10048-7,,s,s,LOINC_db
LN,10049-5,S wave duration in lead I,10049-5,,s,s,LOINC_db
LN,10050-3,S wave duration in lead II,10050-3,,s,s,LOINC_db
LN,100505-7,Pediatric Cardiology Outpatient Progress Note,100505-7,,nan,,LOINC_db
LN,10051-1,S wave duration in lead III,10051-1,,s,s,LOINC_db
LN,10052-9,S wave duration in lead V1,10052-9,,s,s,LOINC_db
LN,10053-7,S wave duration in lead V2,10053-7,,s,s,LOINC_db
LN,10054-5,S wave duration in lead V3,10054-5,,s,s,LOINC_db
LN,10055-2,S wave duration in lead V4,10055-2,,s,s,LOINC_db
LN,10056-0,S wave duration in lead V5,10056-0,,s,s,LOINC_db
LN,100560-2,Clinical Cardiac Electrophysiology Hospital Progress Note,100560-2,,nan,,LOINC_db
LN,10057-8,S wave duration in lead V6,10057-8,,s,s,LOINC_db
LN,100580-0,Heart Failure+Transplant Cardiology Hospital Progress Note,100580-0,,nan,,LOINC_db
LN,10058-6,S' wave amplitude in lead AVF,10058-6,,mV,,LOINC_db
LN,100587-5,Interventional Cardiology Hospital Progress Note,100587-5,,nan,,LOINC_db
LN,10059-4,S' wave amplitude in lead AVL,10059-4,,mV,,LOINC_db
